INFO 2026-01-29 11:14:29,641 autoreload Watching for file changes with StatReloader
WARNING 2026-01-29 11:18:39,649 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:18:40,731 log "GET /register/ HTTP/1.1" 200 9449
WARNING 2026-01-29 11:18:40,757 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:18:40,759 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:18:40,759 log "GET /static/hackathon/css/style.css HTTP/1.1" 200 1381
INFO 2026-01-29 11:18:40,759 log "GET /static/hackathon/css/animations.css HTTP/1.1" 200 6927
INFO 2026-01-29 11:18:40,768 log "GET /static/hackathon/js/app.js HTTP/1.1" 200 5779
INFO 2026-01-29 11:18:40,769 log "GET /static/hackathon/js/animations.js HTTP/1.1" 200 2232
WARNING 2026-01-29 11:18:43,265 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:18:43,266 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
WARNING 2026-01-29 11:18:43,270 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:18:43,271 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:18:49,515 log "POST /login/ HTTP/1.1" 302 0
INFO 2026-01-29 11:18:49,524 log "GET /register/otp/ HTTP/1.1" 200 6868
WARNING 2026-01-29 11:18:49,568 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:18:49,569 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:18:49,570 log "GET /static/hackathon/css/style.css HTTP/1.1" 200 1381
INFO 2026-01-29 11:18:49,570 log "GET /static/hackathon/js/animations.js HTTP/1.1" 200 2232
INFO 2026-01-29 11:18:49,571 log "GET /static/hackathon/js/app.js HTTP/1.1" 200 5779
INFO 2026-01-29 11:18:49,571 log "GET /static/hackathon/css/animations.css HTTP/1.1" 200 6927
INFO 2026-01-29 11:19:05,016 log "POST /register/otp/ HTTP/1.1" 302 0
INFO 2026-01-29 11:19:05,039 log "GET /profile/ HTTP/1.1" 200 7866
WARNING 2026-01-29 11:19:05,072 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:19:05,073 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:19:05,073 log "GET /static/hackathon/js/app.js HTTP/1.1" 200 5779
INFO 2026-01-29 11:19:05,073 log "GET /static/hackathon/css/style.css HTTP/1.1" 200 1381
INFO 2026-01-29 11:19:05,073 log "GET /static/hackathon/css/animations.css HTTP/1.1" 200 6927
